# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
zhe fen dai ma 	這份代碼	c=1 d=1 t=6279
zhe ge 	這個	c=7 d=0.248835 t=6206
zhe ge biao zhun 	這個標準	c=1 d=1 t=4396
zhe ge jue se ma 	這個角色嗎	c=1 d=1 t=3426
zhe ge shi jie 	這個世界	c=0 d=0.1 t=3991
zhe ge shi jie shang 	這個世界上	c=1 d=1 t=4015
zhe ge shu ju 	這個數據	c=1 d=1 t=6105
zhe ge shui ping de hua 	這個水平的話	c=1 d=1 t=3817
zhe ge wen jian jia 	這個文件夾	c=1 d=1 t=3370
zhe ge wen ti 	這個問題	c=1 d=1 t=5217
zhe ge yang zi de 	這個樣子的	c=1 d=1 t=4195
zhe ge zhong duan 	這個終端	c=1 d=1 t=3332
zhe gui dong xi 	這鬼東西	c=1 d=1 t=3664
zhe he 	這和	c=1 d=1 t=416
zhe jian shi 	這件事	c=0 d=0.1 t=196
zhe jiang 	這將	c=1 d=1.04045 t=403
zhe jiang dao zhi 	這將導致	c=1 d=1 t=223
zhe jiu wang le 	這就忘了	c=1 d=1 t=3695
zhe ju 	這句	c=0 d=0.1 t=5617
zhe ju hua 	這句話	c=2 d=1.92774 t=3563
zhe ke 	這課	c=1 d=1 t=5380
zhe kuan 	這款	c=1 d=1 t=5930
zhe liang ge 	這兩個	c=1 d=1 t=4343
zhe ling 	這令	c=1 d=1 t=274
zhe me 	這麼	c=0 d=0.1 t=2148
zhe me kuai 	這麼快	c=0 d=0.1 t=3863
zhe me kuai jiu wang la 	這麼快就忘啦	c=1 d=1 t=3864
zhe me ren wei de 	這麼認爲的	c=1 d=1 t=2149
zhe pian 	這篇	c=1 d=1.09048 t=2959
zhe pian ri ji 	這篇日記	c=1 d=1 t=2940
zhe rang 	這讓	c=1 d=1 t=355
zhe shi 	這事	c=1 d=0.100373 t=3697
zhe shi 	這是	c=15 d=3.33149 t=5239
zhe shi 	這時	c=1 d=1 t=1462
zhe shi di er ge wen jian 	這是第二個文件	c=1 d=1 t=5030
zhe shi ge 	這是個	c=1 d=1 t=3517
zhe shi he li de 	這是合理的	c=1 d=1 t=3447
zhe shi yi ci 	這是一次	c=1 d=1 t=4471
zhe shi yi ge 	這是一個	c=1 d=1 t=733
zhe shi yi ge ren de ming zi 	這是一個人的名字	c=1 d=1 t=3794
zhe shou dao le 	這受到了	c=1 d=1 t=386
zhe teng 	折騰	c=1 d=0.100001 t=4153
zhe teng pa le 	折騰怕了	c=1 d=1 t=4154
zhe teng zhe teng 	折騰折騰	c=2 d=1.9802 t=1789
zhe wang zhan 	這網站	c=1 d=1 t=3741
zhe wei 	這位	c=1 d=1.04176 t=2906
zhe wei nv sheng 	這位女生	c=1 d=1 t=2907
zhe wo 	這我	c=1 d=1 t=3168
zhe xie 	這些	c=4 d=1.00087 t=6217
zhe xie biao 	這些表	c=1 d=1 t=1716
zhe xie dai ma 	這些代碼	c=1 d=1 t=5223
zhe yang 	這樣	c=2 d=0.100197 t=5139
zhe yang de 	這樣的	c=3 d=1.99005 t=6790
zhe yang shuo 	這樣說	c=1 d=1 t=2818
zhe yang zuo 	這樣做	c=1 d=1 t=5873
zhe ye 	這也	c=1 d=1.00016 t=1432
zhe ye shi de 	這也使得	c=1 d=1 t=144
zhe yi 	這一	c=0 d=0.100461 t=4697
zhe yi dian 	這一點	c=2 d=1.34473 t=3805
zhe yi dui 	這一對	c=1 d=1 t=4698
zhe yi guan dian 	這一觀點	c=2 d=1.92774 t=3601
zhe yi tiao 	這一條	c=1 d=1 t=3263
zhe you zhu yu 	這有助於	c=1 d=1 t=4928
zhe zai 	這在	c=1 d=1 t=442
zhe zhang 	這張	c=1 d=1 t=2191
zhe zhi mao niang 	這只猫娘	c=1 d=1 t=3962
zhe zhi shi yi ge 	這只是一個	c=1 d=1 t=3435
zhe zhong 	這種	c=1 d=1 t=2708
zhe zhong qing kuang 	這種情況	c=1 d=1 t=5915
zhe zhong qing kuang xia 	這種情況下	c=1 d=1 t=976
zhe zhong zhi cai 	這種制裁	c=1 d=1 t=185
zhen 	真	c=0 d=0.1 t=5571
zhen de 	真的	c=1 d=0.1 t=3892
zhen de jia de 	真的假的	c=1 d=1 t=3863
zhen de shi 	真的是	c=2 d=1.41895 t=3972
zhen de xi huan 	真的喜歡	c=1 d=1 t=5572
zhen duan 	診斷	c=2 d=1.99005 t=5832
zhen shi 	真實	c=1 d=0.268913 t=3807
zhen shi 	真是	c=0 d=0.1 t=3448
zhen shu 	幀數	c=1 d=1 t=5613
zhen sui ji 	真随机	c=1 d=1 t=1614
zhen zheng de 	真正的	c=1 d=1 t=4038
zheng 	證	c=1 d=1 t=5577
zheng ban 	正版	c=0 d=0.1 t=264
zheng ban ruan jian 	正版軟件	c=1 d=1 t=265
zheng ce 	政策	c=0 d=0.070822 t=130
zheng chang 	正常	c=2 d=1.57984 t=5914
zheng chang ren 	正常人	c=1 d=1 t=5725
zheng chou 	正愁	c=1 d=1 t=2205
zheng ge 	整個	c=2 d=0.1 t=4515
zheng ge shi jie 	整個世界	c=2 d=1.00294 t=2702
zheng ge shu zu 	整個數組	c=1 d=1 t=4516
zheng hao 	正好	c=1 d=1 t=651
zheng ming 	證明	c=1 d=0.115299 t=3550
zheng ming huo fan bo 	證明或反駁	c=2 d=1.92312 t=3567
zheng que 	正確	c=0 d=0.1 t=5232
zheng que de 	正確的	c=4 d=1.01057 t=4761
zheng que de shu chu 	正確的輸出	c=1 d=1 t=2408
zheng que jie guo 	正確結果	c=1 d=1 t=5233
zheng que xing 	正確性	c=1 d=1 t=4243
zheng ti 	整體	c=1 d=1 t=4514
zheng wen 	正文	c=8 d=7.21116 t=6385
zheng zai 	正在	c=0 d=0.100025 t=4941
zheng zai shi yong 	正在使用	c=1 d=1 t=3285
zheng zha 	掙扎	c=1 d=1 t=3011
zheng zhi 	政治	c=1 d=1 t=317
zheng zhi shang 	政治上	c=1 d=1.03867 t=288
zheng zhi shang de 	政治上的	c=1 d=0.856415 t=130
zhi 	之	c=0 d=0.1 t=5584
zhi 	值	c=8 d=4.8303 t=2442
zhi 	只	c=2 d=1.00018 t=5707
zhi 	置	c=1 d=1 t=2323
zhi 	至	c=0 d=0.1 t=4098
zhi cai 	制裁	c=2 d=1.73873 t=236
zhi cai ling 	制裁令	c=1 d=1 t=237
zhi chi 	支持	c=3 d=1.52994 t=5628
zhi da 	之大	c=0 d=0.0995012 t=130
zhi dao 	直到	c=3 d=1.1653 t=4626
zhi dao 	知道	c=11 d=2.11514 t=5987
zhi dao le 	知道了	c=1 d=1 t=2019
zhi de 	指的	c=0 d=0.1 t=3227
zhi ding 	指定	c=0 d=0.1 t=4538
zhi dong 	致動	c=1 d=1 t=6799
zhi du 	只讀	c=1 d=1 t=2595
zhi gei 	指給	c=1 d=1 t=6478
zhi hou 	之後	c=7 d=1 t=6820
zhi hu 	知乎	c=1 d=0.734448 t=3724
zhi hu shang 	知乎上	c=2 d=1.14515 t=4111
zhi hui 	只會	c=1 d=1 t=2170
zhi jian 	之間	c=1 d=1 t=2920
zhi jie 	直接	c=14 d=1.02352 t=6184
zhi jie gao su wo 	直接告訴我	c=1 d=1 t=4633
zhi jie shan chu 	直接刪除	c=2 d=1.956 t=4151
zhi jie shu chu 	直接輸出	c=1 d=1 t=5250
zhi lei de 	之類的	c=1 d=1 t=5615
zhi ling 	指令	c=2 d=1.00261 t=1869
zhi neng 	只能	c=1 d=1.09048 t=4023
zhi neng 	智能	c=0 d=0.1 t=1640
zhi neng bo fang 	智能播放	c=1 d=1 t=1641
zhi qian 	之前	c=2 d=1.00003 t=6026
zhi shao 	至少	c=3 d=2.01732 t=2786
zhi sheng 	吱聲	c=0 d=0.1 t=1514
zhi shi 	只是	c=1 d=0.196567 t=3434
zhi shi 	知識	c=1 d=1 t=5982
zhi shi chan quan 	知識產權	c=1 d=1 t=281
zhi shi deng 	指示燈	c=1 d=1 t=6490
zhi shu 	置數	c=1 d=1 t=2300
zhi suo yi 	之所以	c=0 d=0.1 t=2816
zhi wai 	之外	c=4 d=1.80259 t=5843
zhi wu da zhan jiang shi 	植物大战僵尸	c=1 d=1 t=591
zhi xian shi 	只顯示	c=1 d=1 t=1450
zhi xiao 	知曉	c=3 d=1.0426 t=2582
zhi xiao le 	知曉了	c=4 d=1.5399 t=1883
zhi xie 	只寫	c=0 d=0.1 t=4486
zhi xie yi ge 	只寫一個	c=1 d=1 t=4487
zhi xing 	執行	c=4 d=1.38098 t=4975
zhi xing cheng xu 	执行程序	c=2 d=1 t=4339
zhi xing de 	執行的	c=1 d=1 t=1192
zhi xu yao 	只需要	c=2 d=1.00039 t=5183
zhi yao 	只要	c=1 d=0.1 t=4421
zhi yao dai ma 	只要代碼	c=1 d=1 t=4422
zhi you 	只有	c=4 d=1.00397 t=5938
zhi you ren lei 	只有人類	c=1 d=1 t=3993
zhi you san ge 	只有三個	c=1 d=1 t=2043
zhi zhan shi 	只展示	c=1 d=1 t=1829
zhi zhi 	紙質	c=1 d=1 t=1812
zhi zhi dao 	只知道	c=1 d=1 t=4445
zhi zuo 	製作	c=1 d=0.995012 t=6821
zhong 	中	c=19 d=1.32259 t=6586
zhong de 	中的	c=3 d=2.02288 t=2441
zhong dian 	重點	c=0 d=0.1 t=3041
zhong dian miao xie 	重點描寫	c=1 d=1 t=3042
zhong duan 	終端	c=6 d=0.374106 t=5865
zhong duan de 	終端的	c=1 d=1 t=3325
zhong guo 	中國	c=3 d=0.987228 t=6821
zhong guo guo qing 	中國國情	c=1 d=1 t=1605
zhong guo ren min 	中國人民	c=1 d=1 t=1497
zhong guo shi 	中國式	c=2 d=2.00505 t=1593
zhong guo shi xian dai hua 	中國式現代化	c=3 d=2.94099 t=1495
zhong guo zhu ce 	中國註冊	c=1 d=1 t=3750
zhong jian 	中間	c=1 d=0.1 t=5073
zhong jian shu 	中間數	c=1 d=1 t=1107
zhong liang 	重量	c=1 d=1.04991 t=5299
zhong mei 	中美	c=0 d=0.088692 t=130
zhong mei e 	中美俄	c=1 d=0.891366 t=130
zhong wen 	中文	c=8 d=1 t=6821
zhong wen wen dang 	中文文檔	c=1 d=1 t=2181
zhong xin 	重心	c=0 d=0.1 t=227
zhong yao 	重要	c=0 d=0.1 t=3138
zhong yao de 	重要的	c=1 d=1 t=165
zhong yin 	重音	c=2 d=1.97531 t=6771
zhu 	助	c=1 d=1 t=469
zhu 	豬	c=1 d=1 t=6011
zhu bo 	主播	c=0 d=0.1 t=2175
zhu bo wan 	主播玩	c=1 d=1 t=2176
zhu ce 	註冊	c=4 d=1.03562 t=6299
zhu ci 	助詞	c=1 d=1 t=6761
zhu duo 	諸多	c=3 d=1.01967 t=1245
zhu duo xian zhi 	諸多限制	c=1 d=1 t=195
zhu guan 	主觀	c=0 d=0.1 t=3570
zhu guan kan fa 	主觀看法	c=1 d=1 t=3571
zhu han shu 	主函数	c=1 d=1 t=4205
zhu le 	住了	c=1 d=1.04649 t=6004
zhu ren 	主人	c=6 d=4.49515 t=2993
zhu shi 	註釋	c=3 d=1.50158 t=4336
zhu shou 	助手	c=1 d=1 t=518
zhu xian 	主線	c=1 d=1 t=2682
zhu yao shi 	主要是	c=1 d=1 t=4152
zhu yi 	注意	c=1 d=1 t=6049
zhu zhan chang 	主戰場	c=1 d=1 t=395
zhuan 	轉	c=1 d=1 t=688
zhuan er 	轉而	c=1 d=1 t=5010
zhuan hua wei 	轉化爲	c=1 d=1 t=5270
zhuan ji 	專輯	c=1 d=1 t=1659
zhuan zhe 	轉折	c=0 d=0.066034 t=130
zhuang 	裝	c=0 d=0.1 t=646
zhuang bu hui lai le 	裝不回來了	c=1 d=1 t=647
zhuang bu shang 	裝不上	c=2 d=1.98511 t=5121
zhuang yi chen 	莊以晨	c=1 d=1 t=6558
zhuang yuan 	莊遠	c=1 d=1 t=6557
zhui jia 	追加	c=1 d=1 t=1023
zhun bei 	準備	c=1 d=1 t=2743
zhun ze 	準則	c=1 d=1 t=3468
zhuo mian 	桌面	c=0 d=0.1 t=5485
zhuo mian ge ci 	桌面歌詞	c=1 d=1 t=5486
zi 	字	c=1 d=0.1 t=5090
zi ben 	資本	c=0 d=0.1 t=224
zi chuan 	子串	c=1 d=1 t=4695
zi dai 	自帶	c=1 d=0.100001 t=4147
zi dong 	自動	c=1 d=0.1 t=6316
zi dong deng lu 	自動登錄	c=1 d=1 t=6317
zi dong yan zheng 	自動驗證	c=1 d=1 t=957
zi duan 	字段	c=2 d=1.97045 t=1865
zi fan 	自反	c=1 d=0.618783 t=130
zi fu chuan 	字符串	c=1 d=1 t=547
zi hao 	字號	c=1 d=1 t=6408
zi ji 	自己	c=2 d=0.0918512 t=6821
zi ji de 	自己的	c=1 d=0.904837 t=6821
zi ji feng ping bu hao 	自己風評不好	c=1 d=1 t=2091
zi ji huan guo dian chi 	自己換過電池	c=1 d=1 t=5925
zi ji huan le kuai 	自己換了塊	c=1 d=1 t=5926
zi ji shi 	自己是	c=2 d=1.9802 t=3508
zi ji shi xian 	自己實現	c=1 d=1 t=6245
zi ji xie 	自己寫	c=0 d=0.1 t=4190
zi ju 	子句	c=3 d=2.71996 t=1975
zi liao 	資料	c=3 d=1.09566 t=4226
zi liao ku zhong 	資料庫中	c=1 d=1 t=1636
zi qi dong 	自啓動	c=1 d=1 t=5467
zi qin 	子欽	c=1 d=1 t=5757
zi ran 	自然	c=1 d=1 t=3717
zi shu 	字數	c=1 d=1 t=6393
zi ti 	字體	c=10 d=1.94649 t=6316
zi xing 	自行	c=1 d=1 t=1017
zi xu lie 	子序列	c=2 d=2.04182 t=4723
zi yuan 	資源	c=2 d=1.00182 t=6388
zi yuan guan li qi 	资源管理器	c=2 d=1.96079 t=4157
zong 	總	c=0 d=0.1 t=2821
zong jie 	總結	c=1 d=1 t=296
zong shi 	總是	c=1 d=1 t=3207
zong shi he wo 	總是和我	c=1 d=1 t=2822
zong shuo 	總說	c=1 d=1 t=2851
zong xian 	總線	c=3 d=2.25622 t=2618
zong xian dian lu 	總線電路	c=1 d=1 t=2619
zou 	走	c=1 d=1 t=4084
zou jin 	走近	c=1 d=1 t=6516
zou shang 	走上	c=2 d=1.79057 t=1573
zou wan 	走完	c=1 d=1 t=3747
zou xiang 	走向	c=1 d=0.922835 t=1537
zou zai xian dai hua 	走在現代化	c=1 d=1 t=1564
zu 	組	c=0 d=0.1 t=5429
zu gou 	足夠	c=1 d=1.07866 t=3186
zu gou zhong yao le 	足夠重要了	c=1 d=1 t=3139
zu he 	組合	c=1 d=1 t=2287
zu jian 	組件	c=1 d=1 t=2513
zui 	最	c=0 d=0.100001 t=5301
zui ai 	最愛	c=0 d=0.1 t=5503
zui chang 	最長	c=3 d=2.05807 t=4706
zui chang gong gong zi xu lie 	最長公共子序列	c=6 d=5.13473 t=4718
zui da 	最大	c=1 d=0.97531 t=130
zui da hua 	最大化	c=1 d=1 t=5722
zui da jia zhi 	最大價值	c=1 d=1 t=5302
zui da zhi 	最大值	c=2 d=1.98511 t=6223
zui duan 	最短	c=1 d=1 t=5347
zui duan lu jing 	最短路径	c=1 d=1 t=5336
zui hao 	最好	c=0 d=0.1 t=901
zui hao bu yao 	最好不要	c=1 d=1 t=902
zui hou 	最後	c=3 d=1.00001 t=6738
zui hou yi ge 	最後一個	c=1 d=1 t=5040
zui huai 	最壞	c=0 d=0.19802 t=1224
zui huai de 	最壞的	c=1 d=1 t=1048
zui huai qing kuang 	最壞情況	c=1 d=1 t=1225
zui huai qing kuang xia 	最壞情況下	c=1 d=1 t=1221
zui jin 	最近	c=1 d=1 t=3705
zui xia mian 	最下面	c=1 d=1 t=1451
zui xiao 	最小	c=1 d=1 t=4735
zui xin 	最新	c=1 d=1 t=5850
zui you 	最優	c=1 d=1.07531 t=5317
zui you jie 	最優解	c=1 d=1 t=5318
zui you jie 	最忧解	c=1 d=1 t=5309
zui zhen shi de 	最真實的	c=1 d=1 t=2909
zui zhong 	最終	c=1 d=1.07531 t=448
zui zhong shi 	最終是	c=1 d=1 t=2973
zui zhong tan pan 	最終談判	c=1 d=1 t=449
zuo 	做	c=1 d=0.882142 t=3060
zuo 	左	c=1 d=1 t=4616
zuo ban bian 	左半邊	c=1 d=1 t=1103
zuo bao gao 	作報告	c=1 d=1 t=5431
zuo bu dao 	做不到	c=1 d=1 t=3602
zuo chu 	作出	c=1 d=1 t=3527
zuo de 	做的	c=0 d=0.1 t=924
zuo ge 	作格	c=1 d=1 t=6784
zuo le 	做了	c=1 d=1 t=5811
zuo na zhong shi 	做那種事	c=1 d=1 t=2945
zuo pin 	作品	c=1 d=1 t=6714
zuo tian 	昨天	c=2 d=1.62814 t=3745
zuo wei 	作爲	c=5 d=1.00135 t=4923
zuo wei bu chong 	作爲補充	c=1 d=1 t=3559
zuo wei yi zhi 	作爲一隻	c=1 d=1 t=4031
zuo ye 	作業	c=2 d=0.516862 t=4401
zuo yong 	作用	c=1 d=1 t=1990
zuo zhe jian shi 	做這件事	c=1 d=1 t=197
zuo zuo ye 	做作業	c=0 d=0.1 t=2096
